व्यक्तिमत्व ,"अतिपरीचयात् अवज्ञा, संतत गमना अनादरो भवती 
मलये भिल्ल पुरन्द्रे ,चंदनं तरु काष्ट मिंधन कुरुते ॥",अतिपरिचयसे अवमान होता है । तथा बारबार किसीके यंहा जाने से अनादर होता है । जैसे मलय पर्वत की भिल्ला स्त्री चन्दन पेड़ की लकड़ी का उपयोग इंधन के लिए करती है । ,,,
भोजन मंत्र,"अन्न ग्रहण करनेसे पाहिले विचार मनमे करना है ,
किस हेतु इस शरीर का पालन पोषण करना है ।
हे परमेश्वर एक प्रार्थना नित्य तुम्हारे चरणोमे, 
लग जाए तन मन धन मातृभूमी की सेवामें ।।
",,,,
मातृभूमी,"अपि स्वर्णमयी लंका  न मे लक्ष्मण! रोचते । 
जननी जन्मभूमिश्च स्वर्गादपि गरीयसी ॥ 
","हे लक्ष्मण, यह स्वर्यमयी लंका मुझे अच्छी नही लगती है।  क्यों की जननी और जन्मभूमी स्वर्ग से भी श्रेष्ठ है। ",,,
सदगुण,"अभिवादनशीलस्य नित्यं वृध्दोपसेविन: । 
चत्वारि तस्य वर्धन्ते आयुर्विद्यायशोबलम् |
","अभिवादन , सदाचार ,वृद्धोंकी सेवा नित्य करनेसे आयु, विद्या, यश, बल इन चारो गुणोंकी  वृद्धी होती है |",,,
सदगुण,"अयंनिज: परो वेति गणना लघुचेतसाम् 
उदार चरितानांतु वसुधैव कुटुम्बकम् ॥
","यह मेरा, यह पराया है ऐसा छोटे हृदय वाले ही सोचते है। उदार हृदयवालों के लिये समस्त विश्व परिवार के समान है। ",,,
उद्यम,"अलसस्य कुतो विद्या अविद्यस्य कुतो धनम् । 
अधनस्य कुतो मित्रम् अमित्रस्य कुत: सुखम् | 
",आलसी व्यक्ती के पास विद्या ज्ञान कहां होगा ? विद्या के विना धन कहा ?  धन विना मित्र कहां ?  और मित्र बिना सुख कैसा प्राप्त होगा ?,,,
संघटन,"अल्पनामपि वस्तूनां संहति: कार्यसाधिका । 
तृणैर्गुणत्वमापनैर्बध्यन्ते मत्तदन्तिन: ॥ 
",छोटी छोटी वस्तूओंका संघ बनाने से बडा कार्य हो सकता है।  छोटी-छोटी तृणोंकी सहायता से बनायी हुयी रस्सी हाथी बांधने मे भी समर्थ रहती है। ,,,
शक्ती,"अश्वं नैव गजं नैव व्याघ्रं नैव च नैव च । 
अजापुत्रं बलिं दद्यात देवो दुर्बल घातक: ॥ 
","अश्व? नही, हाथी ?  नही ।  शेर ? तो बिलकुल नही ।  बकरी को बली चढाया जाता है।देव भी दुर्बल को ही नष्ट करते है। ",,,
मातृभूमी,"आऽ सिंधु सिंध पर्यंता यस्य भारतभूमिका:। 
मातृभू: पुण्यभूश्चैव स वै हिन्दूरिती स्मृता :॥ 
","सिंधू से सिंधतक भूमि भारत भूमि है । वह मातृभूमि और पुण्यभूमि है । 
ऐसी जिसकी श्रद्धा है वही हिन्दू है ।
",,,
व्यक्तिमत्व कुशलता,"आमंत्रमक्षरं नास्ति नास्ति मूलमनौषधम्। 
अयोग्य पुरूषो नास्ति योजक: तत्र दुर्लभ:॥
","ऐसा कोई अक्षर नही जिनसे मंत्र नही बनता हो । ऐसी कोई वनस्पति नही जिससे औषध न बनती हो । कोई मनुष्य अयोग्य नही है, उसे कार्य मे लगानेवाला (योजक) ही दुर्लभ है।",,,
मित्र,"उत्सवे व्यसने चैव दुर्भिक्षे राष्ट्र-विप्तवे 
राजद्वारे स्मशाने च यस्तिष्ठति स बांधव: ॥
","जो अपने साथ उत्सव, संकट, दुष्काल, राष्ट्रीय आपत्ती, राजदरबार और स्मशान मे रहता है, वही सच्चा मित्र है।",,,
पुरुषार्थ,"उदये सविता रक्तो रक्त:श्चास्तमये तथा । 
सम्पतौ च विपत्तौ च महतामे करूपता ॥  
",जिस प्रकार सूर्य उदय के समय व अस्त के समय लाल रहता है।  उसी प्रकार श्रेष्ठ पुरूष वैभव काल मे और संकट काल मे एक जैसे ही रहते है। ,,,
पुरुषार्थ,"उद्यम साहसं धैर्यं बुध्दि: शक्ति: पराक्रम: 
षडेते यत्र विद्यन्ते तत्र देव सहायकृत ॥
","जहांपर परिश्रमशीलता, साहस, धैर्य, विवेक, शक्ति एवं पराक्रम ये छ: गुण होते है, वहाँपर देव भी सहाय्यक हो जाता है। ",,,
उद्यम,"उद्यमेन हि सिध्यन्ति कार्याणि न मनोरथै :। 
न हि सुप्तस्य सिंहस्य प्रविशन्ति मुखे मृगा:॥ 

","कार्य करने पर होते है। केवल ईच्छा रखने से नही ।        सोये हुये सिंह के मुख मे,अपने आप जानवर नही गिरने ॥ ",,,
राजा ,"एकं विषरसं हन्ति शस्त्रेणैकश्व वध्यते । 
सराष्ट्रं सप्रजं हन्ति राजानं मंत्र विप्लव: ॥
","विष से एक ही मरता है।  शस्त्र से भी एक ही (प्राणी) मारा जाता है।  परंतु अयोग्य निर्णय के कारण राजा, राष्ट्र, प्रजा यह सब मारा जाता है। ",,,
व्यक्तिमत्व कुशलता,"काक: कृष्ण: पिक: कृष्ण: को भेद: पिक काकयो: । 
वसंतसमये प्राप्ते काक: काक: पिक : पिक: ॥ 
","कोयल और कौआ दोनो काले रंग के होते है, किन्तु उनकी पहचान वसन्त ऋतू आने पर होती है।",,,
व्यक्तिमत्व ,"कोऽतिभार: समार्थानां किं दूरं व्यवसायिनाम् । 
को विदेश: सविद्यानां क: पर: प्रियवादिनाम् ॥ 
",बुध्दीमान व्यक्ती को कौनसा मानसिक तणाव बडा है?  उद्योगी व्यक्ती को दूरी क्या कर सकती ? विद्वान को परदेश का क्या डर है ?  और मधूरभाषी को कौन परकीय है ? ,,,
व्यक्तिमत्व,"गुणैरुतङ्गता याति नोच्चैरासनसंस्थित: ।  
प्रसादशिखरस्थोऽपि काक: किं गरुडायते ॥ 
","श्रेष्ठ गुण सदाचार, शील और चरित्र द्वारा ही उत्तमता प्राप्त होती है केवल उंचे आसन पर बैठने से नही ।  क्या राजमहल के चोटी पर बैठने से कौआ गरूड बन जाएगा?  कदापि नहीं ! ",,,
धर्म लक्षण,"गुणैरुतङ्गता याति शौचमिन्द्रियनिग्रह: ।
धीर्विद्या सत्यमक्रोधो दशकं धर्मलक्षणम् ।।
","धृति: क्षमा दम, अस्तेय (चोरी न करना) शौच (मन, वाणी, शरीर की पवित्रता) इन्द्रियनिग्रह धी विद्या, सत्य, और अक्रोध ये धर्म के लक्षण है। ",,,
त्याग,"त्याजेदेकं कुलस्यार्थे, ग्रामस्यार्थे, कुलं त्यजेत ।
ग्रामं जनपदस्यार्थे आत्मार्थे पुथिवी त्यजेत ।
","कुल की रक्षा के लिये पुरूष को ग्राम की उन्नती के लिये कुल को, जनपद की श्री वृध्दि के लिये गाव को और अपनी आत्मा की उन्नति के लिये सारी पृथ्वी को त्याग दें । ",,,
शुभ कामना,"दीर्घायु भव बन्धुत्वं यशस्वी भव जीवने ।
विस्मरण मा भवतु राष्ट्रस्य तनोतु  धवलं यश।।
","हे बंधू ! दीर्घायु रहे , जीवनमे यशस्वी हो, अपने राष्ट्र का विस्मरण ना हो, परिपूर्ण यश प्राप्त करे ।",,,
